Date,Month,Hours,Minutes,Intensity,Congested
8,1,12,0,140.0,1
8,1,12,15,149.0,1
8,1,12,30,143.0,1
8,1,12,45,147.0,1
8,1,13,0,138.0,1
8,1,13,15,135.0,1
8,1,13,30,135.0,1
8,1,13,45,130.0,1
8,1,14,0,130.0,1
8,1,14,15,136.0,1
8,1,14,30,137.0,1
8,1,14,45,136.0,1
8,1,15,0,136.0,1
8,1,15,15,142.0,1
8,1,15,30,137.0,1
8,1,15,45,136.0,1
8,1,16,0,129.0,0
8,1,16,15,130.0,1
8,1,16,30,136.0,1
8,1,16,45,136.0,1
8,1,17,0,131.0,1
8,1,17,15,135.0,1
8,1,17,30,139.0,1
8,1,17,45,140.0,1
8,1,18,0,138.0,1
8,1,18,15,134.0,1
8,1,18,30,130.0,1
8,1,18,45,136.0,1
8,1,19,0,130.0,1
8,1,19,15,130.0,1
8,1,19,30,130.0,1
8,1,19,45,128.0,0
8,1,20,0,134.0,1
8,1,20,15,134.0,1
8,1,20,30,128.0,0
8,1,20,45,134.0,1
8,1,21,0,128.0,0
8,1,21,15,126.0,0
8,1,21,30,129.0,0
8,1,21,45,121.0,0
8,1,22,0,113.0,0
8,1,22,15,110.0,0
8,1,22,30,121.0,0
8,1,22,45,110.0,0
8,1,23,0,108.0,0
8,1,23,15,108.0,0
8,1,23,30,103.0,0
8,1,23,45,101.0,0
9,1,0,0,99.0,0
9,1,0,15,100.0,0
9,1,0,30,99.0,0
9,1,0,45,96.0,0
9,1,1,0,96.0,0
9,1,1,15,96.0,0
9,1,1,30,96.0,0
9,1,1,45,96.0,0
9,1,2,0,96.0,0
9,1,2,15,99.0,0
9,1,2,30,99.0,0
9,1,2,45,99.0,0
9,1,3,0,96.0,0
9,1,3,15,96.0,0
9,1,3,30,96.0,0
9,1,3,45,96.0,0
9,1,4,0,96.0,0
9,1,4,15,96.0,0
9,1,4,30,96.0,0
9,1,4,45,96.0,0
9,1,5,0,96.0,0
9,1,5,15,96.0,0
9,1,5,30,96.0,0
9,1,5,45,96.0,0
9,1,6,0,96.0,0
9,1,6,15,96.0,0
9,1,6,30,96.0,0
9,1,6,45,96.0,0
9,1,7,0,96.0,0
9,1,7,15,96.0,0
9,1,7,30,99.0,0
9,1,7,45,99.0,0
9,1,8,0,102.0,0
9,1,8,15,116.0,0
9,1,8,30,131.0,1
9,1,8,45,136.0,1
9,1,9,0,140.0,1
9,1,9,15,139.0,1
9,1,9,30,146.0,1
9,1,9,45,138.0,1
9,1,10,0,134.0,1
9,1,10,15,134.0,1
9,1,10,30,135.0,1
9,1,10,45,139.0,1
9,1,11,0,131.0,1
9,1,11,15,134.0,1
9,1,11,30,133.0,1
9,1,11,45,135.0,1
9,1,12,0,138.0,1
9,1,12,15,147.0,1
9,1,12,30,150.0,1
9,1,12,45,149.0,1
9,1,13,0,143.0,1
9,1,13,15,138.0,1
9,1,13,30,136.0,1
9,1,13,45,136.0,1
9,1,14,0,136.0,1
9,1,14,15,137.0,1
9,1,14,30,136.0,1
9,1,14,45,136.0,1
9,1,15,0,134.0,1
9,1,15,15,141.0,1
9,1,15,30,136.0,1
9,1,15,45,136.0,1
9,1,16,0,136.0,1
9,1,16,15,136.0,1
9,1,16,30,130.0,1
9,1,16,45,132.0,1
9,1,17,0,136.0,1
9,1,17,15,137.0,1
9,1,17,30,129.0,0
9,1,17,45,135.0,1
9,1,18,0,136.0,1
9,1,18,15,130.0,1
9,1,18,30,136.0,1
9,1,18,45,127.0,0
9,1,19,0,124.0,0
9,1,19,15,130.0,1
9,1,19,30,132.0,1
9,1,19,45,134.0,1
9,1,20,0,133.0,1
9,1,20,15,131.0,1
9,1,20,30,136.0,1
9,1,20,45,126.0,0
9,1,21,0,124.0,0
9,1,21,15,121.0,0
9,1,21,30,122.0,0
9,1,21,45,112.0,0
9,1,22,0,116.0,0
9,1,22,15,110.0,0
9,1,22,30,110.0,0
9,1,22,45,105.0,0
9,1,23,0,108.0,0
9,1,23,15,100.0,0
9,1,23,30,99.0,0
9,1,23,45,99.0,0
10,1,0,0,96.0,0
10,1,0,15,99.0,0
10,1,0,30,96.0,0
10,1,0,45,99.0,0
10,1,1,0,96.0,0
10,1,1,15,99.0,0
10,1,1,30,98.0,0
10,1,1,45,98.0,0
10,1,2,0,96.0,0
10,1,2,15,96.0,0
10,1,2,30,96.0,0
10,1,2,45,96.0,0
10,1,3,0,96.0,0
10,1,3,15,96.0,0
10,1,3,30,96.0,0
10,1,3,45,96.0,0
10,1,4,0,96.0,0
10,1,4,15,96.0,0
10,1,4,30,96.0,0
10,1,4,45,96.0,0
10,1,5,0,96.0,0
10,1,5,15,96.0,0
10,1,5,30,96.0,0
10,1,5,45,96.0,0
10,1,6,0,96.0,0
10,1,6,15,96.0,0
10,1,6,30,96.0,0
10,1,6,45,96.0,0
10,1,7,0,96.0,0
10,1,7,15,96.0,0
10,1,7,30,96.0,0
10,1,7,45,99.0,0
10,1,8,0,100.0,0
10,1,8,15,114.0,0
10,1,8,30,130.0,1
10,1,8,45,135.0,1
10,1,9,0,139.0,1
10,1,9,15,141.0,1
10,1,9,30,141.0,1
10,1,9,45,138.0,1
10,1,10,0,138.0,1
10,1,10,15,137.0,1
10,1,10,30,135.0,1
10,1,10,45,135.0,1
10,1,11,0,138.0,1
10,1,11,15,138.0,1
10,1,11,30,134.0,1
10,1,11,45,138.0,1
10,1,12,0,135.0,1
10,1,12,15,138.0,1
10,1,12,30,137.0,1
10,1,12,45,136.0,1
